City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Nayudupeta,IN,83.28,overcast clouds,13.9,79.9,Hotel Manju
429,Salina,US,89.73,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
434,Veraval,IN,79.77,overcast clouds,20.9,70.3667,Lords Inn Somnath
435,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
440,Arlit,NE,85.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
441,Kalmunai,LK,79.9,overcast clouds,7.4167,81.8167,VS Villa
443,Rajanpur,PK,87.82,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
445,Bafoulabe,ML,79.32,overcast clouds,13.8065,-10.8321,
451,Sadri,IN,79.93,broken clouds,25.1833,73.4333,Chandra Hill Resort
456,Bacolod,PH,82.98,overcast clouds,10.6667,122.95,Planta Hotel & Residences
457,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,The Hamsa Resort
460,Pilibanga,IN,81.25,clear sky,29.4916,74.079,Sharma Bhawan
461,Anori,BR,76.35,broken clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
462,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
465,Sabang,ID,81.48,overcast clouds,5.8933,95.3214,Hotel Citra
466,Mundo Nuevo,MX,80.65,few clouds,18.7,-95.5,
468,Mongagua,BR,79.93,clear sky,-24.0931,-46.6208,Hostel Aloha Brasil
471,Caramay,PH,85.05,scattered clouds,10.1815,119.236,Peace and Love Beach Club
480,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
481,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
483,Barahona,DO,80.94,overcast clouds,18.2085,-71.1008,Hotel Caribe
491,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
492,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
502,Cacoal,BR,78.55,scattered clouds,-11.4386,-61.4472,Hotel BR 364
503,Gladstone,AU,75.13,light rain,-23.85,151.25,Highpoint International
505,Alamogordo,US,76.01,broken clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
509,Sohag,EG,79.09,clear sky,26.557,31.6948,Civil Registry - Sohag 1
515,Koumac,NC,75.51,few clouds,-20.5667,164.2833,Le Monitel
517,Dutse,NG,77.31,clear sky,11.7594,9.3392,Central Mosque Galamawa
526,Redwater,US,80.19,overcast clouds,33.3582,-94.2544,Witterstaetter Properties
529,Diamantino,BR,77.14,overcast clouds,-14.4086,-56.4461,Hotel Delta
530,Ishigaki,JP,86.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
532,Santa Cruz,BO,83.66,smoke,-17.8,-63.1667,Aviador Hotel Boutique
533,Katsina,NG,79.56,few clouds,12.9894,7.6006,Katsina Motel
537,Emerald,AU,77.14,scattered clouds,-23.5333,148.1667,The Irish Village
542,Waingapu,ID,83.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
544,Bhiwandi,IN,78.66,overcast clouds,19.3,73.0667,Hotel Galaxy
546,Jibuti,DJ,87.22,few clouds,11.5,42.5,Orchid Main Camp Goubet
549,Oriximina,BR,79.45,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
555,Sobral,BR,79.29,scattered clouds,-3.6861,-40.3497,Hotel Vitória
558,Mabaruma,GY,76.96,clear sky,8.2,-59.7833,Monty Brooms Guest House
560,Kibala,TD,78.75,clear sky,9.1104,18.3463,hotel safari
564,Contamana,PE,78.66,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
569,Oum Hadjer,TD,81.77,overcast clouds,13.2954,19.6966,
572,Merauke,ID,83.1,broken clouds,-8.4667,140.3333,
574,Trinidad,BO,86.59,clear sky,-14.8333,-64.9,Hotel Piesta
575,Golden,US,83.89,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
577,Beruwala,LK,78.17,overcast clouds,6.4788,79.9828,The Palms Hotel
580,Jasper,US,81.01,clear sky,37.2001,-94.3502,Guest House Motel
582,Mareeba,AU,83.32,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
583,High Rock,BS,80.62,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
584,Zhongshan,CN,82.45,clear sky,21.3226,110.5829,Jianmin Restaurant
587,Limon,CR,78.8,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
589,Funadhoo,MV,80.85,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
596,Ibra,OM,78.87,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
598,Frontera,MX,79.95,overcast clouds,26.9333,-101.45,Casagrande Hotel
601,Adiake,CI,76.59,overcast clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
605,Pochutla,MX,78.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
607,Tateyama,JP,76.1,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
608,Miracema Do Tocantins,BR,84.04,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
613,Ruwi,OM,87.49,broken clouds,23.5996,58.5507,Al Falaj Hotel
615,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
618,Sakaiminato,JP,76.98,scattered clouds,35.55,133.2333,味処・民宿 まつや
621,Mangrol,IN,79.92,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
624,Itaituba,BR,79.41,overcast clouds,-4.2761,-55.9836,Hotel Campos
626,Manggar,ID,84.15,broken clouds,-2.8833,108.2667,Guest Hotel
628,Makakilo City,US,88.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
630,Lockhart,US,80.56,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
633,Samarai,PG,79.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
634,Batticaloa,LK,80.42,overcast clouds,7.7102,81.6924,Grand Star Guest House
638,Omboue,GA,76.71,overcast clouds,-1.5746,9.2618,Hotel Olako
639,West Melbourne,US,80.91,clear sky,28.0717,-80.6534,"Hilton Melbourne, FL"
641,Condado,CU,79.65,light rain,21.8767,-79.8403,Casa Guachinango
646,Biloela,AU,76.08,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
648,Lazaro Cardenas,MX,81.34,overcast clouds,17.9583,-102.2,quinta antigua
651,Los Palacios,CU,76.1,light rain,22.5872,-83.2486,
652,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
653,Mecca,SA,83.71,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
654,Mana,GF,81.45,clear sky,5.6592,-53.7767,LE SAMANA
656,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
657,Ladario,BR,76.44,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
660,Tucurui,BR,78.19,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
664,Acara,BR,76.5,few clouds,-1.9608,-48.1967,Hotel Vale do Acará
666,Malino,PH,82.18,few clouds,15.1257,120.6727,Mula 1522 Private Resort
668,Carutapera,BR,78.39,broken clouds,-1.195,-46.02,Lidera
672,Sawakin,SD,85.12,scattered clouds,19.1059,37.3321,فندق الدويم
683,Jaru,BR,82.76,broken clouds,-10.4389,-62.4664,Hotel Paraná
685,Harper,LR,75.79,light rain,4.375,-7.7169,Screensaver
686,Excelsior Springs,US,85.87,clear sky,39.3392,-94.2261,The Elms Hotel & Spa
687,Sonoma,US,78.12,clear sky,38.55,-122.9011,Gracianna Winery
688,Puerto Lopez,CO,77.58,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
693,Bubaque,GW,83.43,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
695,Dagua,CO,79.3,overcast clouds,3.6569,-76.6886,Hostal Río Dagua
698,Na Klang,TH,78.8,overcast clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
701,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
702,Katherine,AU,86.32,scattered clouds,-14.4667,132.2667,Pine Tree Motel
704,Kuching,MY,77.22,light rain,1.55,110.3333,The Ranee Boutique Suites
