City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kruisfontein,ZA,2021-09-25 01:44:50,-34.0033,24.7314,52.03,89,55,5.12
68,Longyan,CN,2021-09-25 01:45:32,25.1072,117.0225,85.35,65,3,2.42
69,Tanete,ID,2021-09-25 01:45:32,-3.9443,119.7848,81.59,73,97,2.95
70,Springbok,ZA,2021-09-25 01:45:33,-29.6643,17.8865,57.97,33,10,3.06
71,Tiksi,RU,2021-09-25 01:42:07,71.6872,128.8694,33.33,77,100,21.32
72,Port Alfred,ZA,2021-09-25 01:43:27,-33.5906,26.891,59.13,83,67,6.82
73,Kapaa,US,2021-09-25 01:43:53,22.0752,-159.319,82.38,81,75,1.99
74,Mutis,CO,2021-09-25 01:45:34,6.2262,-77.4044,78.39,85,100,1.45
75,Lithgow,AU,2021-09-25 01:45:34,-33.4833,150.15,62.87,23,0,9.19
76,Ipixuna,BR,2021-09-25 01:45:35,-1.7625,-48.8043,78.75,93,33,4.47
77,Atar,MR,2021-09-25 01:44:27,20.5169,-13.0499,89.04,21,15,5.5
78,Gobabis,NA,2021-09-25 01:45:35,-22.45,18.9667,63.28,28,2,8.46
79,Sambava,MG,2021-09-25 01:44:12,-14.2667,50.1667,69.75,89,58,9.46
80,Port Elizabeth,ZA,2021-09-25 01:44:36,-33.918,25.5701,50.29,93,0,2.3
81,Seymchan,RU,2021-09-25 01:45:36,62.8833,152.4333,47.55,52,85,2.82
82,New Norfolk,AU,2021-09-25 01:45:37,-42.7826,147.0587,50.72,55,66,4.0
83,Fairbanks,US,2021-09-25 01:40:45,64.8378,-147.7164,35.6,89,90,1.01
84,Saint-Philippe,RE,2021-09-25 01:41:25,-21.3585,55.7679,71.15,82,2,10.56
85,Palasa,IN,2021-09-25 01:45:38,18.7667,84.4167,81.73,79,73,2.08
86,Tuktoyaktuk,CA,2021-09-25 01:44:22,69.4541,-133.0374,35.6,93,90,18.41
87,Tuatapere,NZ,2021-09-25 01:45:38,-46.1333,167.6833,49.82,76,85,16.6
88,Sao Paulo De Olivenca,BR,2021-09-25 01:45:39,-3.3783,-68.8725,72.88,99,100,1.74
89,Lebu,CL,2021-09-25 01:42:41,-37.6167,-73.65,51.64,94,10,2.89
90,Castro,BR,2021-09-25 01:40:45,-24.7911,-50.0119,56.86,92,42,5.64
91,Clyde River,CA,2021-09-25 01:41:16,70.4692,-68.5914,27.7,71,20,4.29
92,Torbay,CA,2021-09-25 01:42:54,47.6666,-52.7314,47.57,84,75,4.61
93,Grand Gaube,MU,2021-09-25 01:44:09,-20.0064,57.6608,71.38,77,46,8.99
94,Ribeira Grande,PT,2021-09-25 01:42:08,38.5167,-28.7,70.41,82,100,19.93
95,Turka,UA,2021-09-25 01:45:41,49.1541,23.0297,45.93,85,69,3.89
96,Bluff,NZ,2021-09-25 01:42:19,-46.6,168.3333,49.8,75,99,31.21
97,Provideniya,RU,2021-09-25 01:42:16,64.3833,-173.3,33.69,88,100,17.52
98,Chokurdakh,RU,2021-09-25 01:44:16,70.6333,147.9167,34.3,77,100,16.46
99,Superior,US,2021-09-25 01:45:42,46.7208,-92.1041,53.71,64,1,4.61
100,Salalah,OM,2021-09-25 01:45:43,17.0151,54.0924,80.69,83,40,5.75
101,Vila Franca Do Campo,PT,2021-09-25 01:43:47,37.7167,-25.4333,69.19,81,99,6.33
102,Portland,US,2021-09-25 01:42:21,45.5234,-122.6762,86.59,39,1,4.0
103,Veracruz,MX,2021-09-25 01:42:44,19.3333,-96.6667,76.87,92,96,0.87
104,Cockburn Town,TC,2021-09-25 01:41:27,21.4612,-71.1419,82.9,73,100,9.01
105,Katsuura,JP,2021-09-25 01:42:22,35.1333,140.3,73.51,71,57,16.31
106,Puerto Ayora,EC,2021-09-25 01:43:42,-0.7393,-90.3518,69.73,88,96,6.13
107,Yulara,AU,2021-09-25 01:45:44,-25.2406,130.9889,78.64,11,97,13.8
108,Camacha,PT,2021-09-25 01:45:45,33.0833,-16.3333,65.62,77,20,0.0
109,Qaanaaq,GL,2021-09-25 01:40:43,77.484,-69.3632,14.61,69,25,8.46
110,Oranjestad,AW,2021-09-25 01:45:46,12.524,-70.027,84.15,83,20,3.0
111,Sicuani,PE,2021-09-25 01:45:46,-14.2694,-71.2261,51.42,58,11,2.24
112,Okhotsk,RU,2021-09-25 01:45:31,59.3833,143.3,55.36,57,39,0.83
113,Flinders,AU,2021-09-25 01:42:49,-34.5833,150.8552,58.28,89,79,13.58
114,Nanortalik,GL,2021-09-25 01:45:47,60.1432,-45.2371,36.39,65,3,8.97
115,Lata,PT,2021-09-25 01:44:31,40.1629,-8.3327,62.82,90,100,3.96
116,Dunedin,NZ,2021-09-25 01:45:48,-45.8742,170.5036,61.05,54,24,18.3
117,Hambantota,LK,2021-09-25 01:44:19,6.1241,81.1185,79.14,100,20,5.75
118,Goure,NE,2021-09-25 01:45:48,13.9835,10.2704,85.01,21,44,4.47
119,Kiama,AU,2021-09-25 01:44:07,-34.6833,150.8667,58.48,91,92,1.99
120,Arraial Do Cabo,BR,2021-09-25 01:40:44,-22.9661,-42.0278,67.96,83,0,19.57
121,Otane,NZ,2021-09-25 01:45:49,-39.8833,176.6333,69.39,43,98,4.18
122,Say,NE,2021-09-25 01:45:50,13.1007,2.3689,84.76,66,97,8.97
123,Talnakh,RU,2021-09-25 01:43:07,69.4865,88.3972,35.53,65,76,0.83
124,Sitka,US,2021-09-25 01:44:34,57.0531,-135.33,51.69,76,75,9.22
125,Zemio,CF,2021-09-25 01:45:51,5.0314,25.1361,65.12,98,96,1.48
126,Vao,NC,2021-09-25 01:44:05,-22.6667,167.4833,68.7,66,92,11.81
127,Baoro,CF,2021-09-25 01:45:51,5.6667,15.9667,66.0,97,100,0.34
128,Valdemarpils,LV,2021-09-25 01:45:52,57.3707,22.5919,56.62,95,100,10.13
129,Bengkulu,ID,2021-09-25 01:43:06,-3.8004,102.2655,80.6,78,93,2.13
